"ulke","degisken","N","M","SE_M","SD","SE_SD"
"TUR","BULLIED",901676,-0.206,0.02,1.042,0.011
"TUR","BELONG",902643,-0.294,0.012,0.975,0.013
"TUR","FEELSAFE",902139,-0.417,0.017,1.031,0.008
"TUR","CREATEFF",897067,0.122,0.013,1.026,0.01
"TUR","ESCS",902643,-1.18,0.038,1.173,0.019
"TUR","ANXMAT",902643,0.594,0.02,1.218,0.012
"TUR","FAMSUP",887901,-0.186,0.016,1.092,0.011
"TUR","CREATSCH",894965,0.037,0.021,1.168,0.013
"KOR","BULLIED",414761,-0.912,0.01,0.678,0.016
"KOR","BELONG",414761,0.262,0.016,1.001,0.014
"KOR","FEELSAFE",414761,0.115,0.024,0.981,0.01
"KOR","CREATEFF",413807,-0.133,0.021,1.123,0.014
"KOR","ESCS",414761,0.228,0.026,0.813,0.012
"KOR","ANXMAT",414761,-0.052,0.022,1.189,0.016
"KOR","FAMSUP",410677,0.06,0.017,0.965,0.012
"KOR","CREATSCH",413798,0.15,0.018,1.05,0.016
"FIN","BULLIED",49444,-0.407,0.015,0.976,0.01
"FIN","BELONG",49553,0.109,0.013,1.02,0.012
"FIN","FEELSAFE",49512,0.386,0.014,0.932,0.008
"FIN","CREATEFF",48619,-0.048,0.014,0.992,0.011
"FIN","ESCS",49553,0.281,0.016,0.794,0.007
"FIN","ANXMAT",49553,-0.29,0.017,1.148,0.011
"FIN","FAMSUP",46232,0.021,0.015,0.966,0.01
"FIN","CREATSCH",48074,0.066,0.014,0.942,0.013
"MEX","BULLIED",1192475,-0.443,0.016,0.954,0.011
"MEX","BELONG",1193981,-0.165,0.016,1.053,0.013
"MEX","FEELSAFE",1192169,-0.346,0.017,1.029,0.009
"MEX","CREATEFF",1173245,0.112,0.018,0.949,0.011
"MEX","ESCS",1193981,-0.867,0.035,1.145,0.015
"MEX","ANXMAT",1193981,0.543,0.017,1.02,0.013
"MEX","FAMSUP",1092373,-0.008,0.017,1.091,0.013
"MEX","CREATSCH",1161760,0.403,0.018,1.038,0.013
