"var1","var2","Ncases","Nweight","cor","cor_SE","t","df","p","cor_fmi","cor_VarMI","cor_VarRep","ulke"
"BULLIED","BELONG",6855,884663.542380004,-0.220751853527461,0.0360342871294411,-6.13,Inf,8.78790729429339e-10,0,0,0.00129846984892701,"TUR"
"BULLIED","FEELSAFE",6855,884663.542380004,-0.192751661958878,0.0413599116347334,-4.66,Inf,3.16209383794102e-06,0,0,0.00171064229043295,"TUR"
"BULLIED","CREATEFF",6855,884663.542380004,-0.0249600356168611,0.0484330804408235,-0.52,Inf,0.603063575093932,0,0,0.00234576328098728,"TUR"
"BULLIED","ESCS",6855,884663.542380004,-0.0083088404667063,0.0426116875700555,-0.19,Inf,0.849309130530409,0,0,0.00181575591756803,"TUR"
"BULLIED","ANXMAT",6855,884663.542380004,0.110009762950214,0.0392506774797945,2.8,Inf,0.00511026066085587,0,0,0.00154061568262285,"TUR"
"BULLIED","FAMSUP",6855,884663.542380004,-0.147027534870896,0.0437147844408842,-3.36,Inf,0.000779424725164064,0,0,0.00191098237871297,"TUR"
"BELONG","FEELSAFE",6855,884663.542380004,0.353911219495028,0.0403784067680137,8.76,Inf,1.95250374987764e-18,0,0,0.00163041573312318,"TUR"
"BELONG","CREATEFF",6855,884663.542380004,0.130184654581585,0.0527926578513673,2.47,Inf,0.0135113052142813,0,0,0.00278706472301153,"TUR"
"BELONG","ESCS",6855,884663.542380004,0.0800500393733413,0.0387897423530738,2.06,Inf,0.0393985408187538,0,0,0.00150464411181785,"TUR"
"BELONG","ANXMAT",6855,884663.542380004,-0.0751250850994087,0.0492000669614169,-1.53,Inf,0.126016728927957,0,0,0.00242064658900791,"TUR"
"BELONG","FAMSUP",6855,884663.542380004,0.145148044345657,0.0409801250488049,3.54,Inf,0.00040012703201464,0,0,0.00167937064901569,"TUR"
"FEELSAFE","CREATEFF",6855,884663.542380004,0.0890760238746516,0.0504740445952958,1.76,Inf,0.0784078065749653,0,0,0.00254762917780791,"TUR"
"FEELSAFE","ESCS",6855,884663.542380004,0.0706512453244683,0.0374807007985563,1.89,Inf,0.0587579600808189,0,0,0.0014048029323509,"TUR"
"FEELSAFE","ANXMAT",6855,884663.542380004,-0.102966116118812,0.0481977031085789,-2.14,Inf,0.0323547667443322,0,0,0.00232301858494271,"TUR"
"FEELSAFE","FAMSUP",6855,884663.542380004,0.097138590897675,0.0453007753051063,2.14,Inf,0.0323547667443322,0,0,0.00205216024324373,"TUR"
"CREATEFF","ESCS",6855,884663.542380004,0.116740100956548,0.0488026691982784,2.39,Inf,0.0168483727986914,0,0,0.00238170052087659,"TUR"
"CREATEFF","ANXMAT",6855,884663.542380004,-0.0894561938094458,0.0506734274333322,-1.77,Inf,0.0767271407257425,0,0,0.00256779624784118,"TUR"
"CREATEFF","FAMSUP",6855,884663.542380004,0.161999681695065,0.0484778194585178,3.34,Inf,0.00083778389890074,0,0,0.00235009897945265,"TUR"
"ESCS","ANXMAT",6855,884663.542380004,-0.062977936656669,0.0446754517329953,-1.41,Inf,0.158539682906785,0,0,0.00199589598754719,"TUR"
"ESCS","FAMSUP",6855,884663.542380004,0.117392191167182,0.0404863371996114,2.9,Inf,0.00373162660076808,0,0,0.00163914349984064,"TUR"
"ANXMAT","FAMSUP",6855,884663.542380004,-0.0620720166136404,0.0459124771017668,-1.35,Inf,0.177015982874804,0,0,0.00210795555362026,"TUR"
"BULLIED","BELONG",6224,410118.436780006,-0.124447469388796,0.0649258317727293,-1.92,Inf,0.0548578994076736,0,0,0.00421536363138075,"KOR"
