"ulke","degisken","tau2","sigma2","ICC","mlm_gerekli"
"TUR","BULLIED",0.0396,1.0551,0.0362,"HAYIR"
"TUR","BELONG",0.0092,0.9363,0.0097,"HAYIR"
"TUR","FEELSAFE",0.0168,1.0432,0.0158,"HAYIR"
"TUR","CREATEFF",0.0061,1.0598,0.0057,"HAYIR"
"KOR","BULLIED",0.0115,0.409,0.0273,"HAYIR"
"KOR","BELONG",0.0091,1.0145,0.0089,"HAYIR"
"KOR","FEELSAFE",0.0478,0.9137,0.0497,"HAYIR"
"KOR","CREATEFF",0.0212,1.2196,0.0171,"HAYIR"
"FIN","BULLIED",0.0176,0.9463,0.0182,"HAYIR"
"FIN","BELONG",0.008,1.0354,0.0077,"HAYIR"
"FIN","FEELSAFE",0.0104,0.8796,0.0116,"HAYIR"
"FIN","CREATEFF",0.0143,0.9914,0.0142,"HAYIR"
"MEX","BULLIED",0.0235,0.8851,0.0258,"HAYIR"
"MEX","BELONG",0.0018,1.0977,0.0017,"HAYIR"
"MEX","FEELSAFE",0.0313,1.0171,0.0299,"HAYIR"
"MEX","CREATEFF",0.0158,0.8846,0.0175,"HAYIR"
