"parameter","est","SE","t","df","p","VarRep","ulke","model"
"beta_(Intercept)",-0.264371669691698,0.120252666573761,-2.2,Inf,0.0278068950269972,0.0144607038181001,"TUR","A1_BELONG"
"beta_BULLIED_CWC",-0.183499481806287,0.0354837686195401,-5.17,Inf,2.34093994745263e-07,0.00125909783544506,"TUR","A1_BELONG"
"beta_ESCS_CWC",0.0444767759973968,0.0420975217407986,1.06,Inf,0.289144599327819,0.00177220133671701,"TUR","A1_BELONG"
"beta_ANXMAT_CWC",-0.0371707917620678,0.0413289519924505,-0.9,Inf,0.368120250693519,0.00170808227279428,"TUR","A1_BELONG"
"beta_FAMSUP_CWC",0.0870477072555591,0.0410624267570344,2.12,Inf,0.0340060452952656,0.00168612289117681,"TUR","A1_BELONG"
"beta_ST004D01T",-0.0209353909876282,0.0824744831224722,-0.25,Inf,0.802587348634153,0.00680204036631895,"TUR","A1_BELONG"
"Var_(Intercept)",0.0103539796695832,0.0117825139490547,0.88,Inf,0.378859309553424,0.000138827634959669,"TUR","A1_BELONG"
"ResidVar",0.885306919687348,0.00713362375888026,124.1,Inf,0,5.08885879332609e-05,"TUR","A1_BELONG"
"ExplVar_Lev2_Fixed",-0.00168635137758995,0.000740244060156633,-2.28,Inf,0.0226076884771056,5.47961268597177e-07,"TUR","A1_BELONG"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"TUR","A1_BELONG"
"ResidVar_Lev2",0.0103539796695832,0.0117825139490547,0.88,Inf,0.378859309553424,0.000138827634959669,"TUR","A1_BELONG"
"ExplVar_Lev1_Fixed",0.0609055216388624,0.0248580206253612,2.45,Inf,0.0142856214705428,0.000617921189410883,"TUR","A1_BELONG"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"TUR","A1_BELONG"
"ResidVar_Lev1",0.885306919687348,0.00713362375888026,124.1,Inf,0,5.08885879332609e-05,"TUR","A1_BELONG"
"Var_Total",0.954880069618203,0.0249468920455074,38.28,Inf,1.31915527439613e-320,0.000622347422730198,"TUR","A1_BELONG"
"R2_Lev2",-0.194557417644194,0.471224448751606,-0.41,Inf,0.681805947544645,0.222052481101255,"TUR","A1_BELONG"
"R2_Lev1",0.064367703254353,0.0238423551935131,2.7,Inf,0.00693394760608133,0.000568457901173643,"TUR","A1_BELONG"
"R2_Total",0.0620173906079645,0.0229942120429985,2.7,Inf,0.00693394760608133,0.000528733787478379,"TUR","A1_BELONG"
"ICC_Uncond",0.00907719049519888,0.0120934806976597,0.75,Inf,0.453254704753736,0.000146252275384667,"TUR","A1_BELONG"
"ICC_UncondWB",0.00807567891929019,0.0092147472808476,0.88,Inf,0.378859309553424,8.49115674498883e-05,"TUR","A1_BELONG"
"ICC_Cond",0.0115601559440823,0.0130882096420195,0.88,Inf,0.378859309553424,0.000171301231633452,"TUR","A1_BELONG"
"beta_(Intercept)",-0.661955370065561,0.147974634788814,-4.47,Inf,7.82195972056141e-06,0.0218964925408829,"TUR","A2_FEELSAFE"
"beta_BULLIED_CWC",-0.178160242631156,0.043901226957677,-4.06,Inf,4.90727159328195e-05,0.00192731772838946,"TUR","A2_FEELSAFE"
"beta_ESCS_CWC",0.0217089917945339,0.0409282917284616,0.53,Inf,0.596111930789753,0.00167512506381005,"TUR","A2_FEELSAFE"
"beta_ANXMAT_CWC",-0.0497869759956838,0.0420972951757625,-1.18,Inf,0.238000214910401,0.00177218226111528,"TUR","A2_FEELSAFE"
"beta_FAMSUP_CWC",0.0589720306989873,0.0428726407223675,1.38,Inf,0.167586644830029,0.0018380633225092,"TUR","A2_FEELSAFE"
"beta_ST004D01T",0.164288020217823,0.0852136563350773,1.93,Inf,0.0536068377541099,0.00726136722599266,"TUR","A2_FEELSAFE"
"Var_(Intercept)",0.0193253467877968,0.0172698417111678,1.12,Inf,0.262713762085461,0.000298247432728791,"TUR","A2_FEELSAFE"
"ResidVar",0.986999517587101,0.00667395564936654,147.89,Inf,0,4.45416840097115e-05,"TUR","A2_FEELSAFE"
"ExplVar_Lev2_Fixed",-0.000289634297769196,0.00136639073749664,-0.21,Inf,0.833667673035115,1.86702364751661e-06,"TUR","A2_FEELSAFE"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"TUR","A2_FEELSAFE"
"ResidVar_Lev2",0.0193253467877968,0.0172698417111678,1.12,Inf,0.262713762085461,0.000298247432728791,"TUR","A2_FEELSAFE"
"ExplVar_Lev1_Fixed",0.0576975580394316,0.0260458848524432,2.22,Inf,0.0264187676145125,0.000678388117746731,"TUR","A2_FEELSAFE"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"TUR","A2_FEELSAFE"
"ResidVar_Lev1",0.986999517587101,0.00667395564936654,147.89,Inf,0,4.45416840097115e-05,"TUR","A2_FEELSAFE"
"Var_Total",1.06373278811656,0.0269789032691477,39.43,Inf,0,0.000727861221606031,"TUR","A2_FEELSAFE"
"R2_Lev2",-0.0152153116370573,0.0979829648358709,-0.16,Inf,0.872881074217134,0.00960066139802751,"TUR","A2_FEELSAFE"
"R2_Lev1",0.0552289839663128,0.0229075402540573,2.41,Inf,0.0159525205214675,0.000524755400491254,"TUR","A2_FEELSAFE"
"R2_Total",0.0539683691082875,0.0222890818132222,2.42,Inf,0.0155205071011073,0.000496803168076512,"TUR","A2_FEELSAFE"
"ICC_Uncond",0.0178952014102453,0.0162378842500875,1.1,Inf,0.271332121892765,0.00026366888491924,"TUR","A2_FEELSAFE"
"ICC_UncondWB",0.0137451532109872,0.0118570824225621,1.16,Inf,0.246048806102687,0.000140590403575432,"TUR","A2_FEELSAFE"
"ICC_Cond",0.0192038848208339,0.0169494281148038,1.13,Inf,0.258476224480036,0.0002872831134189,"TUR","A2_FEELSAFE"
"beta_(Intercept)",0.0941683056201764,0.119908817370453,0.79,Inf,0.429527768327274,0.0143781244831807,"TUR","B_CREATEFF"
"beta_BULLIED_CWC",0.0229648929463962,0.0443059780496372,0.52,Inf,0.603063575093932,0.00196301969093494,"TUR","B_CREATEFF"
"beta_BELONG_CWC",0.0933152881535497,0.0539997991083869,1.73,Inf,0.0836302752271899,0.00291597830374615,"TUR","B_CREATEFF"
"beta_FEELSAFE_CWC",0.0331576268709299,0.049226108055,0.67,Inf,0.50285779019062,0.00242320971424254,"TUR","B_CREATEFF"
"beta_ESCS_CWC",0.100020390448572,0.0418729058549772,2.39,Inf,0.0168483727986914,0.00175334024473978,"TUR","B_CREATEFF"
"beta_ANXMAT_CWC",-0.0584559220311819,0.0405227743697107,-1.44,Inf,0.149867399068654,0.00164209524261848,"TUR","B_CREATEFF"
"beta_FAMSUP_CWC",0.124246095778264,0.0469215112344079,2.65,Inf,0.00804917708551662,0.00220162821652067,"TUR","B_CREATEFF"
"beta_ST004D01T",0.019116598385695,0.0772103761840025,0.25,Inf,0.802587348634153,0.00596144219047518,"TUR","B_CREATEFF"
"Var_(Intercept)",0.00793619423015421,0.0166407473718925,0.48,Inf,0.631227393032445,0.000276914473095149,"TUR","B_CREATEFF"
"ResidVar",1.00663089058863,0.0117326502957921,85.8,Inf,0,0.00013765508296335,"TUR","B_CREATEFF"
"ExplVar_Lev2_Fixed",-0.00162350284124324,0.000965021716455291,-1.68,Inf,0.0929573157274401,9.31266913230316e-07,"TUR","B_CREATEFF"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"TUR","B_CREATEFF"
"ResidVar_Lev2",0.00793619423015421,0.0166407473718925,0.48,Inf,0.631227393032445,0.000276914473095149,"TUR","B_CREATEFF"
"ExplVar_Lev1_Fixed",0.0582934862565718,0.0339588573481853,1.72,Inf,0.0854324415826579,0.0011532039923944,"TUR","B_CREATEFF"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"TUR","B_CREATEFF"
"ResidVar_Lev1",1.00663089058863,0.0117326502957921,85.8,Inf,0,0.00013765508296335,"TUR","B_CREATEFF"
"Var_Total",1.07123706823411,0.033501014256012,31.98,Inf,2.06883027904967e-224,0.00112231795618152,"TUR","B_CREATEFF"
"R2_Lev2",-0.257180771436907,2.74007201230825,-0.09,Inf,0.928287214829656,7.50799463263501,"TUR","B_CREATEFF"
"R2_Lev1",0.0547395547740808,0.0291983940542287,1.87,Inf,0.0614838178589319,0.000852546215346018,"TUR","B_CREATEFF"
"R2_Total",0.0529014399293954,0.0283382330496313,1.87,Inf,0.0614838178589319,0.000803055452375215,"TUR","B_CREATEFF"
"ICC_Uncond",0.00589289857129119,0.0153933760271163,0.38,Inf,0.703945415151674,0.000236956025512197,"TUR","B_CREATEFF"
"ICC_UncondWB",0.00537120067956312,0.0132350360051104,0.41,Inf,0.681805947544645,0.000175166178056568,"TUR","B_CREATEFF"
