"ulke","yol","a_est","a_se","b_est","b_se","ab_est","ab_se","ci_lower_95","ci_upper_95","anlamli","pct_mediation"
"TUR","ind1_BELONG",-0.183499481806287,0.0354837686195401,0.0933152881535497,0.0539997991083869,-0.0171233070207807,0.010560184657534,-0.0390559148319699,0.00210558234581771,"HAYIR",NA
"TUR","ind2_FEELSAFE",-0.178160242631156,0.043901226957677,0.0331576268709299,0.049226108055,-0.0059073708483982,0.00910105705477744,-0.0247037302041679,0.0117225939038421,"HAYIR",NA
"TUR","total_indirect",NA,NA,NA,NA,-0.0230306778691789,NA,NA,NA,"HAYIR",NA
"TUR","c_prime",NA,NA,NA,NA,0.0229648929463962,0.0443059780496372,NA,NA,"HAYIR",NA
"TUR","total_effect",NA,NA,NA,NA,-6.57849227826759e-05,NA,NA,NA,NA,NA
"KOR","ind1_BELONG",-0.169004661084914,0.0890369716244793,0.182298266506265,0.0565184239907136,-0.0308092567472585,0.0194156646484111,-0.0743260542389608,0.00113019747558283,"HAYIR",NA
"KOR","ind2_FEELSAFE",-0.0873465894516671,0.0734286001142624,0.0156291464799031,0.0519835762182721,-0.00136515264106007,0.00599797223005627,-0.0150809110830442,0.0107179801189975,"HAYIR",NA
"KOR","total_indirect",NA,NA,NA,NA,-0.0321744093883186,NA,NA,NA,"HAYIR",-58.0162094007654
"KOR","c_prime",NA,NA,NA,NA,0.0876320301474819,0.0714156548684664,NA,NA,"HAYIR",NA
"KOR","total_effect",NA,NA,NA,NA,0.0554576207591634,NA,NA,NA,NA,NA
"FIN","ind1_BELONG",-0.308636017825535,0.0406595040097883,0.112555421569958,0.0674231054827634,-0.0347386570980263,0.0213786751588712,-0.0775257393790267,0.00571437513913277,"HAYIR",NA
"FIN","ind2_FEELSAFE",-0.181060142439531,0.0470980565778549,0.0261804149635572,0.049494687478627,-0.00474022966242771,0.00929370621342234,-0.0238512368967326,0.0135417398229753,"HAYIR",NA
"FIN","total_indirect",NA,NA,NA,NA,-0.039478886760454,NA,NA,NA,"HAYIR",-175.697139995598
"FIN","c_prime",NA,NA,NA,NA,0.0619487384389975,0.044052280533634,NA,NA,"HAYIR",NA
"FIN","total_effect",NA,NA,NA,NA,0.0224698516785435,NA,NA,NA,NA,NA
"MEX","ind1_BELONG",-0.226845480943791,0.0575695151109031,0.0971269205280892,0.0503610545389726,-0.0220328029997838,0.0129605940717762,-0.049989646367406,0.000183793675992341,"HAYIR",NA
"MEX","ind2_FEELSAFE",-0.138576658201766,0.0469420039312814,0.0386734026090579,0.0547719489755565,-0.00535923089485471,0.00816571727144577,-0.0228693663107892,0.0102263859729,"HAYIR",NA
"MEX","total_indirect",NA,NA,NA,NA,-0.0273920338946385,NA,NA,NA,"HAYIR",251.350133307448
"MEX","c_prime",NA,NA,NA,NA,0.0164940751252541,0.0478391912378713,NA,NA,"HAYIR",NA
"MEX","total_effect",NA,NA,NA,NA,-0.0108979587693844,NA,NA,NA,NA,NA
