"ulke","yol","est","se","ci_lo","ci_hi","sig","pct"
"TUR","serial1_BELONG_CREATSCH",-0.00644672057640243,0.00272697205881849,-0.012524453939676,-0.00201176242967425,"EVET",NA
"TUR","serial2_FEELSAFE_CREATSCH",-0.00413075602714694,0.00236778789940222,-0.00948616547030164,-0.000323144499993804,"EVET",NA
"TUR","simple1_BELONG",-0.010557018751118,0.00954865267636148,-0.030137705959753,0.00744911377178494,"HAYIR",NA
"TUR","simple2_FEELSAFE",-0.00191103296444084,0.00824594190384364,-0.0184161651283684,0.0147602038488384,"HAYIR",NA
"TUR","simple3_CREATSCH",-0.0136594490971338,0.0119882506556399,-0.0383677595837453,0.0092705977170642,"HAYIR",NA
"TUR","total_indirect",-0.036704977416242,NA,NA,NA,NA,NA
"TUR","c_prime",0.0375372580960492,0.0391163288858645,NA,NA,"HAYIR",NA
"TUR","total_effect",0.000832280679807132,NA,NA,NA,NA,NA
"KOR","serial1_BELONG_CREATSCH",-0.00773907250301411,0.00595701073832776,-0.0222623115915346,0.000422605622346214,"HAYIR",NA
"KOR","serial2_FEELSAFE_CREATSCH",-0.00189383906031329,0.00226777976224097,-0.00751983512325697,0.00134093560914184,"HAYIR",NA
"KOR","simple1_BELONG",-0.0229932169825642,0.0165687134738371,-0.0616345395001881,0.00213144613571943,"HAYIR",NA
"KOR","simple2_FEELSAFE",0.00058199600018592,0.00607714073796879,-0.0118585871841015,0.014426041984397,"HAYIR",NA
"KOR","simple3_CREATSCH",-0.0229870570700146,0.0275421092527987,-0.0824328852310804,0.0281413568215448,"HAYIR",NA
"KOR","total_indirect",-0.0550311896157203,NA,NA,NA,NA,-99.6214929122059
"KOR","c_prime",0.110271467598924,0.0646249336117644,NA,NA,"HAYIR",NA
"KOR","total_effect",0.0552402779832039,NA,NA,NA,NA,NA
"FIN","serial1_BELONG_CREATSCH",-0.0120523453175856,0.00584784958629011,-0.0246692328879884,-0.0017354541434753,"EVET",NA
"FIN","serial2_FEELSAFE_CREATSCH",-0.00231334886839443,0.00306957056650922,-0.00894840930755398,0.00342881648420962,"HAYIR",NA
"FIN","simple1_BELONG",-0.0222762119220681,0.0188858663148634,-0.0596044826801587,0.0140431276189117,"HAYIR",NA
"FIN","simple2_FEELSAFE",-0.00242520675917536,0.0091328450635626,-0.0209126423574398,0.0160479931092233,"HAYIR",NA
"FIN","simple3_CREATSCH",-0.0154126159150124,0.0157090051227201,-0.0471903460222423,0.0150567993672731,"HAYIR",NA
"FIN","total_indirect",-0.0544797287822359,NA,NA,NA,NA,-259.154719970404
"FIN","c_prime",0.0755018150434691,0.0423571099877788,NA,NA,"HAYIR",NA
"FIN","total_effect",0.0210220862612332,NA,NA,NA,NA,NA
"MEX","serial1_BELONG_CREATSCH",-0.00265931661688262,0.00415849618196613,-0.0116263507555202,0.00518846211020471,"HAYIR",NA
"MEX","serial2_FEELSAFE_CREATSCH",-0.00423369670349219,0.0031025461763779,-0.0114836962290795,0.000530525595009621,"HAYIR",NA
"MEX","simple1_BELONG",-0.0190494168566968,0.0114633183385678,-0.0437782718953982,0.00065326483730469,"HAYIR",NA
"MEX","simple2_FEELSAFE",-0.00110758875547214,0.00712252261546465,-0.0156952135985156,0.0135486557193576,"HAYIR",NA
"MEX","simple3_CREATSCH",-0.0197910296261311,0.0144792421206403,-0.0499516286204246,0.00723958878564252,"HAYIR",NA
"MEX","total_indirect",-0.0468410485586749,NA,NA,NA,NA,453.905064748565
"MEX","c_prime",0.0365214790723503,0.0466519175814568,NA,NA,"HAYIR",NA
"MEX","total_effect",-0.0103195694863246,NA,NA,NA,NA,NA
