"ulke","cinsiyet","N","yol","est","ci_lo","ci_hi","sig","b3","a1","a2"
"TUR","Kiz",3449,"serial1",-0.00781836177984325,-0.0187629555489941,-0.00106501406833443,"EVET",0.215653714883763,-0.205213132359005,NA
"TUR","Kiz",3449,"serial2",-0.00666226902601453,-0.0166958996058825,-0.00084183137086958,"EVET",0.215653714883763,NA,-0.170496480667568
"TUR","Erkek",3550,"serial1",-0.00534844301388956,-0.0143818823662813,4.78157670837384e-05,"HAYIR",0.242079667801445,-0.161810966832285,NA
"TUR","Erkek",3550,"serial2",-0.00192130956294749,-0.00947903420165798,0.00433603197735991,"HAYIR",0.242079667801445,NA,-0.181506426200837
"KOR","Kiz",3075,"serial1",-0.00803333280320233,-0.0251978313709269,0.000620451716687992,"HAYIR",0.243352265245709,-0.190894319378612,NA
"KOR","Kiz",3075,"serial2",-0.00315379171611455,-0.0128551587221268,0.00180611333462286,"HAYIR",0.243352265245709,NA,-0.131692416109166
"KOR","Erkek",3213,"serial1",-0.00708800827804394,-0.031053953960026,0.00748656054110406,"HAYIR",0.313027349723408,-0.149848266336385,NA
"KOR","Erkek",3213,"serial2",-0.000936860259680707,-0.00949511303228896,0.00537396548658017,"HAYIR",0.313027349723408,NA,-0.0522433047210035
"FIN","Kiz",4190,"serial1",-0.0123770220535833,-0.0304625573799348,0.00227952144285765,"HAYIR",0.302686076476461,-0.330763201972541,NA
"FIN","Kiz",4190,"serial2",-0.0043410639798583,-0.0148920687720108,0.00389544938855417,"HAYIR",0.302686076476461,NA,-0.211360819667487
"FIN","Erkek",4082,"serial1",-0.0117838342526198,-0.0313078727095341,0.00326404789252493,"HAYIR",0.373574958112149,-0.290330981104339,NA
"FIN","Erkek",4082,"serial2",-0.000272351822405482,-0.00949124051441069,0.00900011036469681,"HAYIR",0.373574958112149,NA,-0.150149919341587
"MEX","Kiz",2858,"serial1",-0.00482630081370307,-0.0212056640219927,0.00712888292462708,"HAYIR",0.251265373605008,-0.254365463441391,NA
"MEX","Kiz",2858,"serial2",-0.00564966031685895,-0.0167006631486735,0.000306764836511347,"HAYIR",0.251265373605008,NA,-0.155888256343646
"MEX","Erkek",2576,"serial1",-0.000938416935010552,-0.0119537092363298,0.00942910968795745,"HAYIR",0.272518915101551,-0.19888763687627,NA
"MEX","Erkek",2576,"serial2",-0.00298700964650359,-0.0130510470892219,0.00350008353748097,"HAYIR",0.272518915101551,NA,-0.121809385473142
